skill1,skill2,skill3,skill4,skill5,skill6,project_name
TensorFlow,Flask,C++,Bioinformatics,Django,Docker,AI-Powered Legal Document Analysis
Java,SQL,Python,Blockchain,Metasploit,Cryptography,Self-Driving Car Simulation
Deep Learning,C++,Blockchain,Django,Cryptography,Cloud Computing,Stock Price Prediction
C++,Deep Learning,Ethical Hacking,TensorFlow,React,MongoDB,IoT-Based Smart Farming
PyTorch,Pandas,Middleware,RTOS,Embedded C,AI,Reinforcement Learning Agent
DevOps,Django,Embedded C,JavaScript,C++,Smart Contracts,Blockchain Voting System
React,Bioinformatics,DevOps,SQL,NumPy,AWS,Automated Code Review System
Docker,Computer Vision,Cloud Computing,OpenCV,Kubernetes,C++,Disease Prediction System
Cryptography,MongoDB,TensorFlow,Kali Linux,Data Science,Kubernetes,Cybersecurity Threat Detector
Node.js,Docker,RTOS,Pandas,Deep Learning,Python,Text Summarization Tool
ML,C,NLP,Metasploit,Bioinformatics,Penetration Testing,Social Media Sentiment Tracker
Embedded C,React,Kubernetes,AI,JavaScript,RTOS,Automated Resume Screener
OpenCV,RTOS,PyTorch,DevOps,Node.js,NLP,AI-Based Fraud Detection
MongoDB,NumPy,Smart Contracts,Flask,Smart Contracts,Node.js,Image Caption Generator
Middleware,Blockchain,FastAPI,Cryptography,Kali Linux,Flask,Face Recognition System
Data Science,Smart Contracts,IoT,NumPy,AI,ML,AI Virtual Assistant
Kali Linux,Cybersecurity,Metasploit,Data Science,AWS,Ethical Hacking,AI-Powered Health Diagnosis
AI,DevOps,AWS,MongoDB,C,JavaScript,Speech Emotion Recognition
SQL,OpenCV,Solidity,Java,Middleware,Cybersecurity,AI-Based Music Recommendation
JavaScript,Middleware,Bioinformatics,Penetration Testing,FastAPI,Bioinformatics,Stock Market Trend Analysis
Cybersecurity,Data Science,Cryptography,IoT,SQL,Computer Vision,AI-Based Customer Support
Ethical Hacking,Cryptography,MongoDB,PyTorch,Flask,DevOps,Hand Gesture Recognition
NumPy,AI,React,Python,Ethical Hacking,FastAPI,AI-Powered Personal Finance Advisor
C,Ethical Hacking,Penetration Testing,Docker,IoT,Django,AI-Generated Art System
FastAPI,JavaScript,NumPy,C,Cloud Computing,Deep Learning,AI-Powered Hiring System
Smart Contracts,Metasploit,C,C++,Java,React,AI-Powered Resume Generator
RTOS,Embedded C,Kali Linux,Kubernetes,NLP,Data Science,Medical Image Analysis
Kubernetes,Java,Cybersecurity,FastAPI,Pandas,TensorFlow,Fake News Detection
Django,ML,ML,Node.js,Cybersecurity,PyTorch,Sentiment Analysis
Bioinformatics,Node.js,Flask,React,Docker,Blockchain,Drowsiness Detection System
TensorFlow,Flask,C++,Bioinformatics,Django,Docker,AI-Powered Legal Document Analysis
Java,SQL,Python,Blockchain,Metasploit,Cryptography,Self-Driving Car Simulation
Deep Learning,C++,Blockchain,Django,Cryptography,Cloud Computing,Stock Price Prediction
C++,Deep Learning,Ethical Hacking,TensorFlow,React,MongoDB,IoT-Based Smart Farming
PyTorch,Pandas,Middleware,RTOS,Embedded C,AI,Reinforcement Learning Agent
DevOps,Django,Embedded C,JavaScript,C++,Smart Contracts,Blockchain Voting System
